,acc,baseline_flops,remaining_flops,sparsity,method
0,0.4847,0.41652,284720.0,0.9,OTO
1,0.8206,0.41652,364680.0,0.8,OTO
2,0.871,0.4165199999999999,369280.0,0.7,OTO
3,0.8754,0.41652,381119.9999999999,0.5,OTO
4,0.8826,0.41652,391680.0,0.2999999999999999,OTO
5,0.8845,0.4165199999999999,398520.0,0.1999999999999999,OTO
6,0.8871,0.41652,407719.99999999994,0.1,OTO
7,0.8845,0.4165199999999999,416519.9999999999,0.0,OTO
8,0.3706,0.4165199999999999,269440.0,0.91,OTO
9,0.37,0.4165199999999999,224360.0,0.93,OTO
10,0.2898,0.41652,133960.0,0.97,OTO
11,0.3527,0.41652,67660.0,0.99,OTO
12,0.3555,0.4165199999999999,23460.0,1.0,OTO
13,0.1023,416520.0,48520.0,0.9313725490196079,NS
14,0.1147,416520.0,66120.0,0.9411764705882353,NS
15,0.106,416520.0,82120.0,0.9019607843137255,NS
16,0.3147,416520.0,98120.0,0.8627450980392157,NS
17,0.5707,416520.0,153720.0,0.7352941176470589,NS
18,0.655,416520.0,174720.0,0.6764705882352942,NS
19,0.6898,416520.0,195720.0,0.6176470588235294,NS
20,0.7455,416520.0,216720.0,0.5588235294117647,NS
21,0.8997,416520.0,284320.0,0.37254901960784315,NS
22,0.9113,416520.0,416520.0,0.0,NS
23,0.8997,416520.0,284320.0,0.37254901960784315,NS
24,0.1,416520.0,10920.0,1.0,NS
25,0.9113,416520.0,416520.0,0.0,PEFC
26,0.8965,416520.0,356920.0,0.16666666666666663,PEFC
27,0.726,416520.0,237720.0,0.5,PEFC
28,0.1814,416520.0,58120.0,0.9607843137254902,PEFC
29,0.1,416520.0,10920.0,1.0,PEFC
30,0.8884,416520.0,106120.0,0.8431372549019608,PP (cutoff)
31,0.8934,416520.0,114120.0,0.8235294117647058,PP (cutoff)
32,0.891,416520.0,114120.0,0.8235294117647058,PP (cutoff)
33,0.24,416520.0,98120.0,0.8627450980392157,PP (cutoff)
34,0.8987,416520.0,114120.0,0.8235294117647058,PP (cutoff)
35,0.8961,416520.0,153720.0,0.7352941176470589,PP (cutoff)
36,0.8964,416520.0,153720.0,0.7352941176470589,PP (cutoff)
37,0.8953,416520.0,174720.0,0.6764705882352942,PP (cutoff)
38,0.9031,416520.0,245320.0,0.4901960784313726,PP (cutoff)
39,0.9082,416520.0,356920.0,0.16666666666666663,PP (cutoff)
40,0.9113,416520.0,416520.0,0.0,PP (cutoff)
41,0.1,416520.0,10920.0,1.0,PP (cutoff)
42,0.8884,416520.0,106120.0,0.8431372549019608,PP (dynam.)
43,0.8934,416520.0,114120.0,0.8235294117647058,PP (dynam.)
44,0.891,416520.0,114120.0,0.8235294117647058,PP (dynam.)
45,0.8987,416520.0,114120.0,0.8235294117647058,PP (dynam.)
46,0.8961,416520.0,153720.0,0.7352941176470589,PP (dynam.)
47,0.8964,416520.0,153720.0,0.7352941176470589,PP (dynam.)
48,0.8953,416520.0,174720.0,0.6764705882352942,PP (dynam.)
49,0.9031,416520.0,245320.0,0.4901960784313726,PP (dynam.)
50,0.9082,416520.0,356920.0,0.16666666666666663,PP (dynam.)
51,0.9113,416520.0,416520.0,0.0,PP (dynam.)
52,0.8842,416520.0,98120.0,0.8627450980392157,PP (dynam.)
53,0.8909,416520.0,106120.0,0.8431372549019608,PP (dynam.)
54,0.8847,416520.0,106120.0,0.8431372549019608,PP (dynam.)
55,0.8833,416520.0,82120.0,0.9019607843137255,PP (dynam.)
56,0.1,416520.0,10920.0,1.0,PP (dynam.)
