,method,ratio,lbd,acc,baseline_flops,remaining_flops,nmb_params_before,nmb_params_after
0,ns_l1_norm_ratio,0.9,0.01,0.1023,416520,48520,2550,175
1,ns_l1_norm_ratio,0.8111111111111111,0.01,0.1147,416520,66120,2550,150
2,ns_l1_norm_ratio,0.7222222222222222,0.01,0.106,416520,82120,2550,250
3,ns_l1_norm_ratio,0.6333333333333333,0.01,0.3147,416520,98120,2550,350
5,ns_l1_norm_ratio,0.45555555555555555,0.01,0.5707,416520,153720,2550,675
6,ns_l1_norm_ratio,0.3666666666666667,0.01,0.655,416520,174720,2550,825
7,ns_l1_norm_ratio,0.2777777777777778,0.01,0.6898,416520,195720,2550,975
8,ns_l1_norm_ratio,0.18888888888888888,0.01,0.7455,416520,216720,2550,1125
9,ns_l1_norm_ratio,0.1,0.01,0.8997,416520,284320,2550,1600
10,ns_l1_norm_ratio,0.0,0.01,0.9113,416520,416520,2550,2550
