,method,cutoff,lbd,acc,baseline_flops,remaining_flops,nmb_params_before,nmb_params_after
0,pp_cf,None,0.01,0.8884,416520,106120,2550,400
1,pp_cf,None,0.0089,0.8934,416520,114120,2550,450
2,pp_cf,None,0.0078,0.891,416520,114120,2550,450
3,pp_cf,None,0.0067,0.24,416520,98120,2550,350
4,pp_cf,None,0.0056,0.8987,416520,114120,2550,450
5,pp_cf,None,0.0045,0.8961,416520,153720,2550,675
6,pp_cf,None,0.0034000000000000002,0.8964,416520,153720,2550,675
7,pp_cf,None,0.0023,0.8953,416520,174720,2550,825
8,pp_cf,None,0.0011999999999999997,0.9031,416520,245320,2550,1300
9,pp_cf,None,0.0001,0.9082,416520,356920,2550,2125
10,pp_cf,None,0.0,0.9113,416520,416520,2550,2550
11,pp_cf,None,0.1,0.1,416520,10920,2550,0
