,method,cutoff,lbd,acc,baseline_flops,remaining_flops,nmb_params_before,nmb_params_after
0,pp_grad,None,0.01,0.8884,416520,106120,2550,400
1,pp_grad,None,0.0089,0.8934,416520,114120,2550,450
2,pp_grad,None,0.0078,0.891,416520,114120,2550,450
4,pp_grad,None,0.0056,0.8987,416520,114120,2550,450
5,pp_grad,None,0.0045,0.8961,416520,153720,2550,675
6,pp_grad,None,0.0034000000000000002,0.8964,416520,153720,2550,675
7,pp_grad,None,0.0023,0.8953,416520,174720,2550,825
8,pp_grad,None,0.0011999999999999997,0.9031,416520,245320,2550,1300
9,pp_grad,None,0.0001,0.9082,416520,356920,2550,2125
10,pp_grad,None,0.0,0.9113,416520,416520,2550,2550
11,pp_grad,None,0.013,0.8842,416520,98120,2550,350
12,pp_grad,None,0.03,0.8909,416520,106120,2550,400
13,pp_grad,None,0.035,0.8847,416520,106120,2550,400
14,pp_grad,None,0.04,0.8833,416520,82120,2550,250
15,pp_grad,None,0.05,0.1,416520,10920,2550,0
